Original_Index,Selected_Index,Correlation
1441,1102,0.270945
1442,1103,0.349254
1445,1104,0.244617
1446,1105,0.245996
1447,1106,-0.151918
1448,1107,-0.162230
1449,1108,0.239553
1450,1109,0.300529
1451,1110,-0.141215
1452,1111,-0.143232
1453,1112,0.209531
1454,1113,0.284540
1455,1114,-0.184107
1456,1115,-0.138712
1457,1116,0.233695
1458,1117,0.356402
1460,1118,-0.126505
1461,1119,0.224437
1462,1120,0.302839
1463,1121,-0.160539
1464,1122,-0.149661
1465,1123,0.254488
1466,1124,0.343077
1468,1125,-0.171915
1469,1126,0.244865
1470,1127,0.271990
1471,1128,-0.102931
1472,1129,-0.133320
1473,1130,0.188662
1474,1131,0.297271
1475,1132,-0.154666
1476,1133,-0.170462
1477,1134,0.272941
1478,1135,0.290974
1479,1136,-0.142965
1480,1137,-0.105083
1481,1138,0.251495
1482,1139,0.257940
1484,1140,-0.107973
1485,1141,0.156210
1486,1142,0.258099
1487,1143,-0.155589
1489,1144,0.155047
1490,1145,0.211750
1491,1146,-0.153035
1493,1147,0.165459
1494,1148,0.255570
1495,1149,-0.153026
1497,1150,0.144929
1498,1151,0.211981
1499,1152,-0.170310
1501,1153,0.151903
1502,1154,0.273889
1505,1155,0.163593
1506,1156,0.247676
1508,1157,-0.125134
1509,1158,0.160672
1510,1159,0.231337
1513,1160,0.193409
1514,1161,0.235408
1515,1162,-0.103888
1517,1163,0.138314
1518,1164,0.247404
1521,1165,0.195516
1522,1166,0.211187
1525,1167,0.158369
1526,1168,0.247566
1528,1169,-0.105134
1529,1170,0.146090
1530,1171,0.248183
1533,1172,0.110560
1534,1173,0.210768
1538,1174,0.115769
1541,1175,0.127711
1542,1176,0.196652
1545,1177,0.151173
1546,1178,0.213206
1548,1179,-0.107757
1549,1180,0.102243
1550,1181,0.166484
1553,1182,0.116977
1554,1183,0.113130
1556,1184,-0.126507
1557,1185,0.103026
1558,1186,0.119603
1560,1187,-0.106914
1561,1188,0.130435
1562,1189,0.168816
1566,1190,0.111542
1568,1191,-0.107641
1570,1192,0.119335
1572,1193,-0.116119
1573,1194,0.124292
1574,1195,0.187529
1578,1196,0.155578
1584,1197,-0.126080
1585,1198,0.107724
1586,1199,0.147362
1588,1200,-0.100035
1589,1201,0.122263
1590,1202,0.129877
1593,1203,0.110054
1594,1204,0.126222
1601,1205,0.154766
1602,1206,0.142606
1605,1207,0.114515
1606,1208,0.158085
1609,1209,0.113715
1610,1210,0.136641
1617,1211,0.145571
1618,1212,0.125273
1621,1213,0.140438
1622,1214,0.181144
1625,1215,0.170149
1626,1216,0.153602
1629,1217,0.123160
1630,1218,0.157765
1633,1219,0.195804
1634,1220,0.112275
1637,1221,0.107894
1638,1222,0.113714
1641,1223,0.219066
1642,1224,0.161565
1645,1225,0.124930
1649,1226,0.180186
1652,1227,-0.154063
1657,1228,0.188027
1658,1229,0.121729
1660,1230,-0.113089
1661,1231,0.137479
1665,1232,0.182325
1668,1233,-0.139969
1669,1234,0.121651
1673,1235,0.155875
1674,1236,0.131377
1676,1237,-0.108730
1677,1238,0.162818
1681,1239,0.169462
1682,1240,0.105075
1685,1241,0.132198
1687,1242,0.107715
1689,1243,0.165596
1693,1244,0.199244
1695,1245,0.149619
1697,1246,0.150915
1700,1247,-0.110423
1705,1248,0.174567
1706,1249,0.124428
1707,1250,0.144221
1713,1251,0.178947
1715,1252,0.115551
1717,1253,0.168590
1719,1254,0.100621
1720,1255,-0.102577
1721,1256,0.104836
1722,1257,0.118280
1725,1258,0.112657
1727,1259,0.132257
1729,1260,0.155528
1733,1261,0.122515
1734,1262,0.111023
1735,1263,0.190252
1737,1264,0.103224
1738,1265,0.137553
1739,1266,0.125759
1741,1267,0.171995
1745,1268,0.129246
1749,1269,0.126911
1751,1270,0.126674
1761,1271,0.182400
1767,1272,0.120454
1769,1273,0.131922
1777,1274,0.142975
1782,1275,0.143147
1783,1276,0.186040
1785,1277,0.158706
1787,1278,0.125394
1789,1279,0.105613
1791,1280,0.102793
1793,1281,0.154782
1795,1282,0.146579
1797,1283,0.154612
1798,1284,0.130744
1799,1285,0.173316
1801,1286,0.175636
1802,1287,0.125315
1803,1288,0.152987
1805,1289,0.106332
1807,1290,0.133152
1809,1291,0.177496
1810,1292,0.117319
1811,1293,0.134126
1813,1294,0.125896
1815,1295,0.135880
1817,1296,0.184744
1819,1297,0.144439
1823,1298,0.122328
1825,1299,0.210594
1826,1300,0.102953
1827,1301,0.150878
1829,1302,0.104310
1830,1303,0.115705
1831,1304,0.185495
1832,1305,0.104876
1833,1306,0.166055
1834,1307,0.101059
1835,1308,0.189702
1837,1309,0.149355
1839,1310,0.127900
1841,1311,0.139423
1843,1312,0.170978
1845,1313,0.195578
1847,1314,0.118862
1849,1315,0.113920
1851,1316,0.148579
1859,1317,0.131700
1861,1318,0.135399
1863,1319,0.194633
1865,1320,0.114565
1867,1321,0.185137
1869,1322,0.145493
1871,1323,0.165292
1873,1324,0.134046
1875,1325,0.170747
1877,1326,0.202979
1879,1327,0.154049
1883,1328,0.148234
1885,1329,0.100481
1887,1330,0.133822
1889,1331,0.114815
1891,1332,0.127281
1893,1333,0.152240
1895,1334,0.174093
1898,1335,0.102188
1899,1336,0.112620
1901,1337,0.123949
1903,1338,0.188006
1905,1339,0.176729
1907,1340,0.120483
1909,1341,0.143239
1911,1342,0.135271
1915,1343,0.203060
1919,1344,0.179531
1921,1345,0.107565
1923,1346,0.202599
1925,1347,0.122622
1927,1348,0.146484
1929,1349,0.148140
1931,1350,0.159150
1933,1351,0.143119
1935,1352,0.125360
1937,1353,0.142762
1939,1354,0.134410
1941,1355,0.100800
